Date,Open,High,Low,Close,Adj Close,Volume
2016-11-07,647.000000,662.549988,647.000000,656.950012,646.858215,97020
2016-11-08,662.049988,663.099976,654.000000,655.599976,645.528931,47036
2016-11-09,607.000000,656.799988,592.000000,643.599976,633.713196,92824
2016-11-10,655.000000,661.000000,650.000000,657.599976,647.498169,37311
2016-11-11,653.000000,654.599976,635.000000,639.500000,629.676208,42643
2016-11-15,640.000000,640.000000,608.000000,631.549988,621.848389,78118
2016-11-16,630.549988,638.000000,603.000000,610.099976,600.727844,208808
2016-11-17,605.000000,622.000000,598.000000,609.599976,600.235535,33889
2016-11-18,607.000000,607.549988,589.099976,602.150024,592.899963,105161
2016-11-21,612.000000,639.450012,602.150024,610.200012,600.826355,207049
2016-11-22,612.000000,663.099976,610.250000,631.900024,622.193054,67065
2016-11-23,649.500000,650.000000,621.950012,644.400024,634.500977,36803
2016-11-24,644.400024,659.650024,633.000000,649.849976,639.867249,84339
2016-11-25,651.000000,653.049988,635.099976,648.900024,638.931824,72532
2016-11-28,649.900024,659.000000,647.000000,649.900024,639.916504,91444
2016-11-29,659.700012,659.700012,647.700012,650.150024,640.162659,44870
2016-11-30,658.000000,673.700012,641.750000,661.900024,651.732117,86709
2016-12-01,667.000000,671.000000,639.000000,649.900024,639.916504,123110
2016-12-02,644.950012,648.400024,627.049988,630.150024,620.469910,50395
2016-12-05,637.900024,647.799988,617.000000,624.150024,614.562073,51116
2016-12-06,630.400024,636.599976,626.200012,630.549988,620.863708,18908
2016-12-07,636.849976,639.900024,622.599976,631.450012,621.749878,21434
2016-12-08,627.000000,644.400024,627.000000,640.450012,630.611694,33368
2016-12-09,647.000000,647.799988,635.000000,637.549988,627.756165,24451
2016-12-12,639.950012,647.799988,632.150024,638.000000,628.199280,8384
2016-12-13,636.000000,643.000000,618.200012,625.500000,615.891296,18200
2016-12-14,629.000000,634.900024,624.950012,632.200012,622.488403,60713
2016-12-15,631.000000,638.000000,612.000000,617.549988,608.063416,80800
2016-12-16,622.049988,635.849976,619.900024,624.950012,615.349792,60651
2016-12-19,626.049988,630.000000,620.000000,624.349976,614.758911,28654
2016-12-20,626.599976,630.000000,623.099976,628.549988,618.894409,21545
2016-12-21,629.950012,632.400024,621.299988,625.799988,616.186707,11529
2016-12-22,629.200012,629.500000,615.650024,620.000000,610.475769,21905
2016-12-23,617.000000,625.000000,606.599976,614.500000,605.060242,17538
2016-12-26,607.500000,614.849976,598.549988,607.799988,598.463196,29969
2016-12-27,607.799988,616.049988,603.000000,608.400024,599.053955,50965
2016-12-28,610.750000,617.349976,605.200012,609.599976,600.235535,56972
2016-12-29,612.000000,613.400024,601.000000,601.599976,592.358459,39358
2016-12-30,610.000000,612.500000,588.000000,595.099976,585.958252,52118
2017-01-02,595.000000,613.000000,595.000000,601.500000,592.259949,15725
2017-01-03,602.349976,605.049988,600.049988,602.000000,592.752258,36777
2017-01-04,605.000000,607.000000,604.000000,605.250000,595.952393,25212
2017-01-05,610.000000,610.000000,602.000000,605.099976,595.804626,36530
2017-01-06,608.950012,609.000000,603.450012,606.599976,597.281616,26242
2017-01-09,609.000000,614.000000,604.000000,608.000000,598.660156,12093
2017-01-10,614.849976,614.849976,604.950012,605.099976,595.804626,15065
2017-01-11,612.000000,612.000000,604.000000,606.349976,597.035400,25378
2017-01-12,606.349976,607.000000,601.000000,602.500000,593.244568,19216
2017-01-13,609.400024,609.400024,599.000000,601.250000,592.013855,19139
2017-01-16,597.000000,606.400024,590.000000,601.250000,592.013855,34056
2017-01-17,603.150024,603.400024,594.549988,602.200012,592.949219,18908
2017-01-18,598.000000,601.349976,597.000000,600.049988,590.832214,40013
2017-01-19,604.000000,604.000000,595.000000,596.200012,587.041443,12478
2017-01-20,602.000000,602.000000,592.000000,593.500000,584.382874,12791
2017-01-23,591.099976,595.950012,587.549988,589.750000,580.690491,15684
2017-01-24,589.000000,596.849976,583.549988,584.849976,575.865723,40629
2017-01-25,600.000000,600.000000,576.000000,590.349976,581.281250,121127
2017-01-27,580.000000,580.000000,573.000000,576.750000,567.890137,52210
2017-01-30,571.000000,571.000000,555.599976,561.950012,553.317505,108622
2017-01-31,561.950012,567.000000,558.000000,560.250000,551.643677,41408
2017-02-01,556.950012,559.000000,550.500000,555.500000,546.966614,69860
2017-02-02,555.500000,561.599976,551.099976,554.549988,546.031189,48868
2017-02-03,555.000000,564.000000,554.200012,558.799988,550.215881,75170
2017-02-06,559.500000,566.000000,554.000000,555.049988,546.523560,80082
2017-02-07,556.000000,563.049988,555.549988,558.799988,550.215881,44059
2017-02-08,558.099976,561.450012,551.000000,552.150024,543.668091,37858
2017-02-09,552.150024,559.750000,552.150024,558.150024,549.575928,21601
2017-02-10,562.950012,562.950012,555.049988,557.549988,548.985107,24291
2017-02-13,557.549988,562.500000,554.099976,555.950012,547.409668,42900
2017-02-14,551.599976,561.950012,551.599976,560.799988,552.185181,46209
2017-02-15,556.500000,560.950012,541.000000,545.400024,537.021790,43890
2017-02-16,546.000000,551.950012,539.400024,549.700012,541.255676,30285
2017-02-17,552.000000,557.900024,549.000000,553.000000,544.505005,33474
2017-02-20,558.799988,583.900024,553.049988,581.150024,572.222595,106950
2017-02-21,580.000000,596.049988,573.150024,591.450012,582.364380,73385
2017-02-22,593.000000,594.099976,580.049988,583.299988,574.339600,33700
2017-02-23,578.049988,586.900024,572.000000,577.549988,568.677917,35005
2017-02-27,577.549988,582.950012,569.049988,575.700012,566.856323,32029
2017-02-28,576.950012,582.000000,571.549988,580.000000,571.090210,25227
2017-03-01,587.900024,587.900024,564.599976,576.900024,568.037903,51669
