Date,Open,High,Low,Close,Adj Close,Volume
2016-11-30,667,671,588,595.099976,585.958252,882083
2016-12-31,595,614.849976,555.599976,560.25,551.643677,729303
2017-01-31,556.950012,596.049988,539.400024,580,571.09021,904843
2017-02-28,587.900024,648,564.599976,627.450012,617.81134,2145843
2017-03-31,630,644,601.549988,612.349976,602.943298,1164794
2017-04-30,612.349976,627.950012,526.299988,536.950012,528.701599,1174439
2017-05-31,537,559.400024,498,506.200012,498.42395,1248312
2017-06-30,511.899994,578,506.049988,530.400024,522.252197,1890644
2017-07-31,533,548.700012,501,519.299988,515.308044,1193535
2017-08-31,522,534.400024,469.850006,506.149994,502.259155,978561
2017-09-30,506.149994,518,480.399994,504.75,500.869904,1086913
2017-10-31,514.950012,532.200012,501.350006,517.650024,513.670776,2121496
2017-11-30,513.299988,549.900024,507.549988,530.599976,526.521179,848218
2017-12-31,532.900024,578.849976,521.75,567.099976,562.740601,2501996
2018-01-31,574,589.400024,495,552.75,548.500916,1538249
2018-02-28,550,559.950012,513.799988,548.349976,544.134705,1653182
2018-03-31,542.150024,570,495.549988,534.049988,529.944641,1599099
2018-04-30,534.049988,536.5,416.200012,427.5,424.213745,572232
2018-05-31,428,540,414.399994,502.600006,498.73645,5315211
2018-06-30,501,597.599976,501,559.799988,555.496704,2089032
2018-07-31,558.650024,619,550.450012,599.599976,599.599976,1320611
2018-08-31,600,664,599.650024,629,629,2337080
2018-09-30,615,651,533.700012,596.900024,596.900024,2165517
2018-10-31,602.200012,608.400024,586.099976,590.450012,590.450012,88136
2018-11-07,590,594.549988,588,590.5,590.5,2387
