Date,Open,High,Low,Close,Adj Close,Volume
2016-11-06,1405.000000,1412.000000,1300.000000,1321.949951,1228.557129,265158
2016-11-13,1321.949951,1369.949951,1300.000000,1355.800049,1260.015747,63450
2016-11-20,1355.800049,1364.500000,1300.000000,1339.250000,1244.634888,107030
2016-11-27,1337.500000,1380.000000,1315.000000,1360.780029,1264.643799,86954
2016-12-04,1363.500000,1393.500000,1351.500000,1369.030029,1272.311035,61346
2016-12-11,1368.469971,1379.900024,1351.000000,1356.150024,1260.340942,49728
2016-12-18,1367.469971,1397.349976,1335.000000,1363.500000,1267.171631,86172
2016-12-25,1351.500000,1370.219971,1338.500000,1364.900024,1268.472778,69530
2017-01-01,1362.500000,1380.030029,1352.599976,1363.069946,1266.772095,33800
2017-01-08,1364.000000,1371.650024,1352.500000,1359.280029,1263.249878,50424
2017-01-15,1355.530029,1387.099976,1355.530029,1378.430054,1281.046875,49302
2017-01-22,1371.030029,1387.000000,1355.000000,1371.930054,1275.006104,58368
2017-01-29,1374.500000,1375.000000,1333.050049,1353.319946,1257.710938,80340
2017-02-05,1353.319946,1399.250000,1345.500000,1372.349976,1275.396484,76046
2017-02-12,1357.500000,1363.949951,1328.500000,1346.099976,1251.000977,66412
2017-02-19,1347.500000,1362.500000,1329.930054,1333.719971,1239.495605,62672
2017-02-26,1339.500000,1357.500000,1328.099976,1352.969971,1257.385620,135746
2017-03-05,1355.030029,1359.500000,1335.199951,1352.949951,1257.366943,62338
2017-03-12,1352.949951,1390.030029,1341.530029,1377.319946,1280.015259,99402
2017-03-19,1378.000000,1390.000000,1351.050049,1374.780029,1277.654785,93362
2017-03-26,1369.500000,1389.949951,1337.500000,1372.280029,1275.331421,138666
2017-04-02,1372.500000,1387.500000,1354.000000,1367.699951,1271.074951,89414
2017-04-09,1367.699951,1367.699951,1335.500000,1341.949951,1247.144165,83660
2017-04-16,1340.050049,1345.469971,1287.500000,1295.150024,1203.650513,109498
2017-04-23,1292.500000,1304.969971,1245.000000,1248.180054,1159.998901,125476
2017-04-30,1248.180054,1259.400024,1198.280029,1223.569946,1137.127441,113196
2017-05-07,1225.030029,1244.000000,1205.099976,1208.849976,1123.447388,89004
2017-05-14,1210.000000,1243.050049,1199.000000,1224.050049,1137.573608,97496
2017-05-21,1224.050049,1227.500000,1176.449951,1182.949951,1099.377075,83452
2017-05-28,1182.530029,1242.500000,1150.500000,1233.699951,1146.541626,137884
2017-06-04,1234.000000,1249.500000,1212.550049,1235.000000,1147.749878,47648
2017-06-11,1233.949951,1245.000000,1100.599976,1231.530029,1144.525146,132896
2017-06-18,1231.500000,1245.000000,1208.000000,1237.880005,1150.426514,77634
2017-06-25,1237.880005,1272.500000,1216.000000,1254.880005,1166.225464,70436
2017-07-02,1264.000000,1300.000000,1247.500000,1291.719971,1200.462769,81666
2017-07-09,1291.000000,1314.750000,1262.619995,1280.430054,1189.970459,87578
2017-07-16,1274.530029,1286.969971,1237.069946,1272.300049,1210.488892,77524
2017-07-23,1262.500000,1297.500000,1213.119995,1221.569946,1162.223389,132594
2017-07-30,1220.000000,1255.500000,1164.050049,1212.550049,1153.641602,87750
2017-08-06,1209.550049,1230.000000,1158.050049,1190.449951,1132.615234,78104
2017-08-13,1198.500000,1209.949951,1177.280029,1197.900024,1139.703369,64244
2017-08-20,1194.000000,1210.500000,1176.000000,1199.180054,1140.921265,62006
2017-08-27,1207.469971,1230.000000,1188.500000,1215.250000,1156.210449,78410
2017-09-03,1219.949951,1245.000000,1196.569946,1235.280029,1175.267456,55566
2017-09-10,1233.880005,1239.349976,1185.000000,1215.180054,1156.143921,108814
2017-09-17,1212.650024,1232.599976,1190.000000,1216.530029,1157.428223,68890
