Date,Open,High,Low,Close,Adj Close,Volume
2016-11-30,884.75,954.900024,852.049988,888.450012,882.960693,10316812
2016-12-31,894,924.700012,863,893.849976,888.327271,8419098
2017-01-31,890.25,972.950012,880.5,925.5,919.781738,10503964
2017-02-28,925,944.099976,830,852.099976,846.835266,11956295
2017-03-31,850,915.900024,846,894.950012,889.420532,9111309
2017-04-30,894.950012,908.900024,600,636.650024,632.716492,66628631
2017-05-31,640,664,622,632.799988,628.890198,18268034
2017-06-30,634.950012,746,631.599976,697.049988,692.743225,17084451
2017-07-31,705,716,591.75,609.099976,605.336609,17522840
2017-08-31,614,641.299988,567.799988,598.299988,594.603333,25848414
2017-09-30,598.299988,626.900024,594.650024,617.700012,615.885925,13828290
2017-10-31,619,654.950012,562.099976,564.099976,562.443298,23022426
2017-11-30,565.75,602,525.849976,594.75,593.003296,20391904
2017-12-31,596.150024,647,583.049988,606.200012,604.419678,22556636
2018-01-31,605,609,517.049988,544.549988,542.950745,23625404
2018-02-28,546.75,568.450012,524,526.299988,524.754333,15590928
2018-03-31,529.650024,589.400024,525.75,571.700012,570.020996,13069785
2018-04-30,571.700012,572.950012,493.5,535.950012,534.376038,20100196
2018-05-31,529.349976,613.950012,514.25,583.049988,581.337646,32210486
2018-06-30,587.75,602.599976,547.150024,581.75,580.041504,13595372
2018-07-31,583.400024,671.599976,570.150024,665.650024,663.695129,22244174
2018-08-31,671,711.900024,619,632.150024,630.293518,21337063
2018-09-30,631,642,574.25,621.5,621.5,16604629
2018-10-31,621.75,661.5,615.25,657.5,657.5,4221390
2018-11-07,660.799988,668,660,665.549988,665.549988,420400
